Connected to mysqlserver
EXIDEIND 2017-12-01 2017-12-30
EXIDEIND 2017-12-31 2017-12-31
FEDERALBNK 2017-07-01 2017-07-30
FEDERALBNK 2017-07-31 2017-07-31
FEDERALBNK 2017-08-01 2017-08-30
FEDERALBNK 2017-08-31 2017-08-31
FEDERALBNK 2017-09-01 2017-09-30
FEDERALBNK 2017-10-01 2017-10-30
FEDERALBNK 2017-10-31 2017-10-31
FEDERALBNK 2017-11-01 2017-11-30
Commited candles: 3000000
FEDERALBNK 2017-12-01 2017-12-30
FEDERALBNK 2017-12-31 2017-12-31
FORTIS 2017-07-01 2017-07-30
FORTIS 2017-07-31 2017-07-31
FORTIS 2017-08-01 2017-08-30
FORTIS 2017-08-31 2017-08-31
FORTIS 2017-09-01 2017-09-30
FORTIS 2017-10-01 2017-10-30
FORTIS 2017-10-31 2017-10-31
FORTIS 2017-11-01 2017-11-30
FORTIS 2017-12-01 2017-12-30
FORTIS 2017-12-31 2017-12-31
GAIL 2017-07-01 2017-07-30
GAIL 2017-07-31 2017-07-31
GAIL 2017-08-01 2017-08-30
GAIL 2017-08-31 2017-08-31
GAIL 2017-09-01 2017-09-30
GAIL 2017-10-01 2017-10-30
GAIL 2017-10-31 2017-10-31
GAIL 2017-11-01 2017-11-30
GAIL 2017-12-01 2017-12-30
GAIL 2017-12-31 2017-12-31
GLENMARK 2017-07-01 2017-07-30
GLENMARK 2017-07-31 2017-07-31
GLENMARK 2017-08-01 2017-08-30
GLENMARK 2017-08-31 2017-08-31
GLENMARK 2017-09-01 2017-09-30
GLENMARK 2017-10-01 2017-10-30
GLENMARK 2017-10-31 2017-10-31
GLENMARK 2017-11-01 2017-11-30
GLENMARK 2017-12-01 2017-12-30
Commited candles: 3150000
GLENMARK 2017-12-31 2017-12-31
GMRINFRA 2017-07-01 2017-07-30
GMRINFRA 2017-07-31 2017-07-31
GMRINFRA 2017-08-01 2017-08-30
GMRINFRA 2017-08-31 2017-08-31
GMRINFRA 2017-09-01 2017-09-30
GMRINFRA 2017-10-01 2017-10-30
GMRINFRA 2017-10-31 2017-10-31
GMRINFRA 2017-11-01 2017-11-30
GMRINFRA 2017-12-01 2017-12-30
GMRINFRA 2017-12-31 2017-12-31
GODFRYPHLP 2017-07-01 2017-07-30
GODFRYPHLP 2017-07-31 2017-07-31
GODFRYPHLP 2017-08-01 2017-08-30
GODFRYPHLP 2017-08-31 2017-08-31
GODFRYPHLP 2017-09-01 2017-09-30
GODFRYPHLP 2017-10-01 2017-10-30
GODFRYPHLP 2017-10-31 2017-10-31
GODFRYPHLP 2017-11-01 2017-11-30
GODFRYPHLP 2017-12-01 2017-12-30
GODFRYPHLP 2017-12-31 2017-12-31
GODREJCP 2017-07-01 2017-07-30
GODREJCP 2017-07-31 2017-07-31
GODREJCP 2017-08-01 2017-08-30
GODREJCP 2017-08-31 2017-08-31
GODREJCP 2017-09-01 2017-09-30
GODREJCP 2017-10-01 2017-10-30
GODREJCP 2017-10-31 2017-10-31
GODREJCP 2017-11-01 2017-11-30
GODREJCP 2017-12-01 2017-12-30
GODREJCP 2017-12-31 2017-12-31
GODREJIND 2017-07-01 2017-07-30
GODREJIND 2017-07-31 2017-07-31
GODREJIND 2017-08-01 2017-08-30
Commited candles: 3300000
GODREJIND 2017-08-31 2017-08-31
GODREJIND 2017-09-01 2017-09-30
GODREJIND 2017-10-01 2017-10-30
GODREJIND 2017-10-31 2017-10-31
GODREJIND 2017-11-01 2017-11-30
GODREJIND 2017-12-01 2017-12-30
GODREJIND 2017-12-31 2017-12-31
GRANULES 2017-07-01 2017-07-30
GRANULES 2017-07-31 2017-07-31
GRANULES 2017-08-01 2017-08-30
GRANULES 2017-08-31 2017-08-31
GRANULES 2017-09-01 2017-09-30
GRANULES 2017-10-01 2017-10-30
GRANULES 2017-10-31 2017-10-31
GRANULES 2017-11-01 2017-11-30
GRANULES 2017-12-01 2017-12-30
GRANULES 2017-12-31 2017-12-31
GRASIM 2017-07-01 2017-07-30
GRASIM 2017-07-31 2017-07-31
GRASIM 2017-08-01 2017-08-30
GRASIM 2017-08-31 2017-08-31
GRASIM 2017-09-01 2017-09-30
GRASIM 2017-10-01 2017-10-30
GRASIM 2017-10-31 2017-10-31
GRASIM 2017-11-01 2017-11-30
GRASIM 2017-12-01 2017-12-30
GRASIM 2017-12-31 2017-12-31
GSFC 2017-07-01 2017-07-30
GSFC 2017-07-31 2017-07-31
GSFC 2017-08-01 2017-08-30
GSFC 2017-08-31 2017-08-31
GSFC 2017-09-01 2017-09-30
Commited candles: 3450000
GSFC 2017-10-01 2017-10-30
GSFC 2017-10-31 2017-10-31
GSFC 2017-11-01 2017-11-30
GSFC 2017-12-01 2017-12-30
GSFC 2017-12-31 2017-12-31
HAVELLS 2017-07-01 2017-07-30
HAVELLS 2017-07-31 2017-07-31
HAVELLS 2017-08-01 2017-08-30
HAVELLS 2017-08-31 2017-08-31
HAVELLS 2017-09-01 2017-09-30
HAVELLS 2017-10-01 2017-10-30
HAVELLS 2017-10-31 2017-10-31
HAVELLS 2017-11-01 2017-11-30
HAVELLS 2017-12-01 2017-12-30
HAVELLS 2017-12-31 2017-12-31
HCC 2017-07-01 2017-07-30
HCC 2017-07-31 2017-07-31
HCC 2017-08-01 2017-08-30
HCC 2017-08-31 2017-08-31
HCC 2017-09-01 2017-09-30
HCC 2017-10-01 2017-10-30
HCC 2017-10-31 2017-10-31
HCC 2017-11-01 2017-11-30
HCC 2017-12-01 2017-12-30
HCC 2017-12-31 2017-12-31
HCLTECH 2017-07-01 2017-07-30
HCLTECH 2017-07-31 2017-07-31
HCLTECH 2017-08-01 2017-08-30
HCLTECH 2017-08-31 2017-08-31
HCLTECH 2017-09-01 2017-09-30
HCLTECH 2017-10-01 2017-10-30
Commited candles: 3600000
HCLTECH 2017-10-31 2017-10-31
HCLTECH 2017-11-01 2017-11-30
HCLTECH 2017-12-01 2017-12-30
HCLTECH 2017-12-31 2017-12-31
HDFC 2017-07-01 2017-07-30
HDFC 2017-07-31 2017-07-31
HDFC 2017-08-01 2017-08-30
HDFC 2017-08-31 2017-08-31
HDFC 2017-09-01 2017-09-30
HDFC 2017-10-01 2017-10-30
HDFC 2017-10-31 2017-10-31
HDFC 2017-11-01 2017-11-30
HDFC 2017-12-01 2017-12-30
HDFC 2017-12-31 2017-12-31
HDFCBANK 2017-07-01 2017-07-30
HDFCBANK 2017-07-31 2017-07-31
HDFCBANK 2017-08-01 2017-08-30
HDFCBANK 2017-08-31 2017-08-31
HDFCBANK 2017-09-01 2017-09-30
HDFCBANK 2017-10-01 2017-10-30
HDFCBANK 2017-10-31 2017-10-31
HDFCBANK 2017-11-01 2017-11-30
HDFCBANK 2017-12-01 2017-12-30
HDFCBANK 2017-12-31 2017-12-31
HDIL 2017-07-01 2017-07-30
HDIL 2017-07-31 2017-07-31
HDIL 2017-08-01 2017-08-30
HDIL 2017-08-31 2017-08-31
HDIL 2017-09-01 2017-09-30
HDIL 2017-10-01 2017-10-30
HDIL 2017-10-31 2017-10-31
HDIL 2017-11-01 2017-11-30
HDIL 2017-12-01 2017-12-30
Commited candles: 3750000
HDIL 2017-12-31 2017-12-31
HEROMOTOCO 2017-07-01 2017-07-30
HEROMOTOCO 2017-07-31 2017-07-31
HEROMOTOCO 2017-08-01 2017-08-30
HEROMOTOCO 2017-08-31 2017-08-31
HEROMOTOCO 2017-09-01 2017-09-30
HEROMOTOCO 2017-10-01 2017-10-30
HEROMOTOCO 2017-10-31 2017-10-31
HEROMOTOCO 2017-11-01 2017-11-30
HEROMOTOCO 2017-12-01 2017-12-30
HEROMOTOCO 2017-12-31 2017-12-31
HEXAWARE 2017-07-01 2017-07-30
HEXAWARE 2017-07-31 2017-07-31
HEXAWARE 2017-08-01 2017-08-30
HEXAWARE 2017-08-31 2017-08-31
HEXAWARE 2017-09-01 2017-09-30
HEXAWARE 2017-10-01 2017-10-30
HEXAWARE 2017-10-31 2017-10-31
HEXAWARE 2017-11-01 2017-11-30
HEXAWARE 2017-12-01 2017-12-30
HEXAWARE 2017-12-31 2017-12-31
HINDALCO 2017-07-01 2017-07-30
HINDALCO 2017-07-31 2017-07-31
HINDALCO 2017-08-01 2017-08-30
HINDALCO 2017-08-31 2017-08-31
HINDALCO 2017-09-01 2017-09-30
HINDALCO 2017-10-01 2017-10-30
HINDALCO 2017-10-31 2017-10-31
HINDALCO 2017-11-01 2017-11-30
HINDALCO 2017-12-01 2017-12-30
HINDALCO 2017-12-31 2017-12-31
HINDPETRO 2017-07-01 2017-07-30
Commited candles: 3900000
HINDPETRO 2017-07-31 2017-07-31
HINDPETRO 2017-08-01 2017-08-30
HINDPETRO 2017-08-31 2017-08-31
HINDPETRO 2017-09-01 2017-09-30
HINDPETRO 2017-10-01 2017-10-30
HINDPETRO 2017-10-31 2017-10-31
HINDPETRO 2017-11-01 2017-11-30
HINDPETRO 2017-12-01 2017-12-30
HINDPETRO 2017-12-31 2017-12-31
HINDUNILVR 2017-07-01 2017-07-30
HINDUNILVR 2017-07-31 2017-07-31
HINDUNILVR 2017-08-01 2017-08-30
HINDUNILVR 2017-08-31 2017-08-31
HINDUNILVR 2017-09-01 2017-09-30
HINDUNILVR 2017-10-01 2017-10-30
HINDUNILVR 2017-10-31 2017-10-31
HINDUNILVR 2017-11-01 2017-11-30
HINDUNILVR 2017-12-01 2017-12-30
HINDUNILVR 2017-12-31 2017-12-31
HINDZINC 2017-07-01 2017-07-30
HINDZINC 2017-07-31 2017-07-31
HINDZINC 2017-08-01 2017-08-30
HINDZINC 2017-08-31 2017-08-31
HINDZINC 2017-09-01 2017-09-30
HINDZINC 2017-10-01 2017-10-30
HINDZINC 2017-10-31 2017-10-31
HINDZINC 2017-11-01 2017-11-30
HINDZINC 2017-12-01 2017-12-30
HINDZINC 2017-12-31 2017-12-31
IBULHSGFIN 2017-07-01 2017-07-30
IBULHSGFIN 2017-07-31 2017-07-31
IBULHSGFIN 2017-08-01 2017-08-30
IBULHSGFIN 2017-08-31 2017-08-31
IBULHSGFIN 2017-09-01 2017-09-30
Commited candles: 4050000
IBULHSGFIN 2017-10-01 2017-10-30
IBULHSGFIN 2017-10-31 2017-10-31
IBULHSGFIN 2017-11-01 2017-11-30
IBULHSGFIN 2017-12-01 2017-12-30
IBULHSGFIN 2017-12-31 2017-12-31
ICICIBANK 2017-07-01 2017-07-30
ICICIBANK 2017-07-31 2017-07-31
ICICIBANK 2017-08-01 2017-08-30
ICICIBANK 2017-08-31 2017-08-31
ICICIBANK 2017-09-01 2017-09-30
ICICIBANK 2017-10-01 2017-10-30
ICICIBANK 2017-10-31 2017-10-31
ICICIBANK 2017-11-01 2017-11-30
ICICIBANK 2017-12-01 2017-12-30
ICICIBANK 2017-12-31 2017-12-31
ICICIPRULI 2017-07-01 2017-07-30
ICICIPRULI 2017-07-31 2017-07-31
ICICIPRULI 2017-08-01 2017-08-30
ICICIPRULI 2017-08-31 2017-08-31
ICICIPRULI 2017-09-01 2017-09-30
ICICIPRULI 2017-10-01 2017-10-30
ICICIPRULI 2017-10-31 2017-10-31
ICICIPRULI 2017-11-01 2017-11-30
ICICIPRULI 2017-12-01 2017-12-30
ICICIPRULI 2017-12-31 2017-12-31
IDBI 2017-07-01 2017-07-30
IDBI 2017-07-31 2017-07-31
IDBI 2017-08-01 2017-08-30
IDBI 2017-08-31 2017-08-31
IDBI 2017-09-01 2017-09-30
IDBI 2017-10-01 2017-10-30
Commited candles: 4200000
IDBI 2017-10-31 2017-10-31
IDBI 2017-11-01 2017-11-30
IDBI 2017-12-01 2017-12-30
IDBI 2017-12-31 2017-12-31
IDEA 2017-07-01 2017-07-30
IDEA 2017-07-31 2017-07-31
IDEA 2017-08-01 2017-08-30
IDEA 2017-08-31 2017-08-31
IDEA 2017-09-01 2017-09-30
IDEA 2017-10-01 2017-10-30
IDEA 2017-10-31 2017-10-31
IDEA 2017-11-01 2017-11-30
IDEA 2017-12-01 2017-12-30
IDEA 2017-12-31 2017-12-31
IDFC 2017-07-01 2017-07-30
IDFC 2017-07-31 2017-07-31
IDFC 2017-08-01 2017-08-30
IDFC 2017-08-31 2017-08-31
IDFC 2017-09-01 2017-09-30
IDFC 2017-10-01 2017-10-30
IDFC 2017-10-31 2017-10-31
IDFC 2017-11-01 2017-11-30
IDFC 2017-12-01 2017-12-30
IDFC 2017-12-31 2017-12-31
IDFCBANK 2017-07-01 2017-07-30
IDFCBANK 2017-07-31 2017-07-31
IDFCBANK 2017-08-01 2017-08-30
IDFCBANK 2017-08-31 2017-08-31
IDFCBANK 2017-09-01 2017-09-30
IDFCBANK 2017-10-01 2017-10-30
IDFCBANK 2017-10-31 2017-10-31
IDFCBANK 2017-11-01 2017-11-30
Commited candles: 4350000
IDFCBANK 2017-12-01 2017-12-30
IDFCBANK 2017-12-31 2017-12-31
IFCI 2017-07-01 2017-07-30
IFCI 2017-07-31 2017-07-31
IFCI 2017-08-01 2017-08-30
IFCI 2017-08-31 2017-08-31
IFCI 2017-09-01 2017-09-30
IFCI 2017-10-01 2017-10-30
IFCI 2017-10-31 2017-10-31
IFCI 2017-11-01 2017-11-30
IFCI 2017-12-01 2017-12-30
IFCI 2017-12-31 2017-12-31
IGL 2017-07-01 2017-07-30
IGL 2017-07-31 2017-07-31
IGL 2017-08-01 2017-08-30
IGL 2017-08-31 2017-08-31
IGL 2017-09-01 2017-09-30
IGL 2017-10-01 2017-10-30
IGL 2017-10-31 2017-10-31
IGL 2017-11-01 2017-11-30
IGL 2017-12-01 2017-12-30
IGL 2017-12-31 2017-12-31
INDIACEM 2017-07-01 2017-07-30
INDIACEM 2017-07-31 2017-07-31
INDIACEM 2017-08-01 2017-08-30
INDIACEM 2017-08-31 2017-08-31
INDIACEM 2017-09-01 2017-09-30
INDIACEM 2017-10-01 2017-10-30
INDIACEM 2017-10-31 2017-10-31
INDIACEM 2017-11-01 2017-11-30
INDIACEM 2017-12-01 2017-12-30
INDIACEM 2017-12-31 2017-12-31
INDIANB 2017-07-01 2017-07-30
Commited candles: 4500000
INDIANB 2017-07-31 2017-07-31
INDIANB 2017-08-01 2017-08-30
INDIANB 2017-08-31 2017-08-31
INDIANB 2017-09-01 2017-09-30
INDIANB 2017-10-01 2017-10-30
INDIANB 2017-10-31 2017-10-31
INDIANB 2017-11-01 2017-11-30
INDIANB 2017-12-01 2017-12-30
INDIANB 2017-12-31 2017-12-31
INDIGO 2017-07-01 2017-07-30
INDIGO 2017-07-31 2017-07-31
INDIGO 2017-08-01 2017-08-30
INDIGO 2017-08-31 2017-08-31
INDIGO 2017-09-01 2017-09-30
INDIGO 2017-10-01 2017-10-30
INDIGO 2017-10-31 2017-10-31
INDIGO 2017-11-01 2017-11-30
INDIGO 2017-12-01 2017-12-30
INDIGO 2017-12-31 2017-12-31
INDUSINDBK 2017-07-01 2017-07-30
INDUSINDBK 2017-07-31 2017-07-31
INDUSINDBK 2017-08-01 2017-08-30
INDUSINDBK 2017-08-31 2017-08-31
INDUSINDBK 2017-09-01 2017-09-30
INDUSINDBK 2017-10-01 2017-10-30
INDUSINDBK 2017-10-31 2017-10-31
INDUSINDBK 2017-11-01 2017-11-30
INDUSINDBK 2017-12-01 2017-12-30
INDUSINDBK 2017-12-31 2017-12-31
INFIBEAM 2017-07-01 2017-07-30
INFIBEAM 2017-07-31 2017-07-31
INFIBEAM 2017-08-01 2017-08-30
Commited candles: 4650000
INFIBEAM 2017-08-31 2017-08-31
INFIBEAM 2017-09-01 2017-09-30
INFIBEAM 2017-10-01 2017-10-30
INFIBEAM 2017-10-31 2017-10-31
INFIBEAM 2017-11-01 2017-11-30
INFIBEAM 2017-12-01 2017-12-30
INFIBEAM 2017-12-31 2017-12-31
INFRATEL 2017-07-01 2017-07-30
INFRATEL 2017-07-31 2017-07-31
INFRATEL 2017-08-01 2017-08-30
INFRATEL 2017-08-31 2017-08-31
INFRATEL 2017-09-01 2017-09-30
INFRATEL 2017-10-01 2017-10-30
INFRATEL 2017-10-31 2017-10-31
INFRATEL 2017-11-01 2017-11-30
INFRATEL 2017-12-01 2017-12-30
INFRATEL 2017-12-31 2017-12-31
INFY 2017-07-01 2017-07-30
INFY 2017-07-31 2017-07-31
INFY 2017-08-01 2017-08-30
INFY 2017-08-31 2017-08-31
INFY 2017-09-01 2017-09-30
INFY 2017-10-01 2017-10-30
INFY 2017-10-31 2017-10-31
INFY 2017-11-01 2017-11-30
INFY 2017-12-01 2017-12-30
INFY 2017-12-31 2017-12-31
IOC 2017-07-01 2017-07-30
IOC 2017-07-31 2017-07-31
IOC 2017-08-01 2017-08-30
IOC 2017-08-31 2017-08-31
IOC 2017-09-01 2017-09-30
IOC 2017-10-01 2017-10-30
Commited candles: 4800000
IOC 2017-10-31 2017-10-31
IOC 2017-11-01 2017-11-30
IOC 2017-12-01 2017-12-30
IOC 2017-12-31 2017-12-31
IRB 2017-07-01 2017-07-30
IRB 2017-07-31 2017-07-31
IRB 2017-08-01 2017-08-30
IRB 2017-08-31 2017-08-31
IRB 2017-09-01 2017-09-30
IRB 2017-10-01 2017-10-30
IRB 2017-10-31 2017-10-31
IRB 2017-11-01 2017-11-30
IRB 2017-12-01 2017-12-30
IRB 2017-12-31 2017-12-31
ITC 2017-07-01 2017-07-30
ITC 2017-07-31 2017-07-31
ITC 2017-08-01 2017-08-30
ITC 2017-08-31 2017-08-31
ITC 2017-09-01 2017-09-30
ITC 2017-10-01 2017-10-30
ITC 2017-10-31 2017-10-31
ITC 2017-11-01 2017-11-30
ITC 2017-12-01 2017-12-30
ITC 2017-12-31 2017-12-31
JETAIRWAYS 2017-07-01 2017-07-30
JETAIRWAYS 2017-07-31 2017-07-31
JETAIRWAYS 2017-08-01 2017-08-30
JETAIRWAYS 2017-08-31 2017-08-31
JETAIRWAYS 2017-09-01 2017-09-30
JETAIRWAYS 2017-10-01 2017-10-30
JETAIRWAYS 2017-10-31 2017-10-31
JETAIRWAYS 2017-11-01 2017-11-30
Commited candles: 4950000
JETAIRWAYS 2017-12-01 2017-12-30
JETAIRWAYS 2017-12-31 2017-12-31
JINDALSTEL 2017-07-01 2017-07-30
JINDALSTEL 2017-07-31 2017-07-31
JINDALSTEL 2017-08-01 2017-08-30
JINDALSTEL 2017-08-31 2017-08-31
JINDALSTEL 2017-09-01 2017-09-30
JINDALSTEL 2017-10-01 2017-10-30
JINDALSTEL 2017-10-31 2017-10-31
JINDALSTEL 2017-11-01 2017-11-30
JINDALSTEL 2017-12-01 2017-12-30
JINDALSTEL 2017-12-31 2017-12-31
JISLJALEQS 2017-07-01 2017-07-30
JISLJALEQS 2017-07-31 2017-07-31
JISLJALEQS 2017-08-01 2017-08-30
JISLJALEQS 2017-08-31 2017-08-31
JISLJALEQS 2017-09-01 2017-09-30
JISLJALEQS 2017-10-01 2017-10-30
JISLJALEQS 2017-10-31 2017-10-31
JISLJALEQS 2017-11-01 2017-11-30
JISLJALEQS 2017-12-01 2017-12-30
JISLJALEQS 2017-12-31 2017-12-31
JPASSOCIAT 2017-07-01 2017-07-30
JPASSOCIAT 2017-07-31 2017-07-31
JPASSOCIAT 2017-08-01 2017-08-30
JPASSOCIAT 2017-08-31 2017-08-31
JPASSOCIAT 2017-09-01 2017-09-30
JPASSOCIAT 2017-10-01 2017-10-30
JPASSOCIAT 2017-10-31 2017-10-31
JPASSOCIAT 2017-11-01 2017-11-30
JPASSOCIAT 2017-12-01 2017-12-30
Commited candles: 5100000
JPASSOCIAT 2017-12-31 2017-12-31
JSWSTEEL 2017-07-01 2017-07-30
JSWSTEEL 2017-07-31 2017-07-31
JSWSTEEL 2017-08-01 2017-08-30
JSWSTEEL 2017-08-31 2017-08-31
JSWSTEEL 2017-09-01 2017-09-30
JSWSTEEL 2017-10-01 2017-10-30
JSWSTEEL 2017-10-31 2017-10-31
JSWSTEEL 2017-11-01 2017-11-30
JSWSTEEL 2017-12-01 2017-12-30
JSWSTEEL 2017-12-31 2017-12-31
JUBLFOOD 2017-07-01 2017-07-30
JUBLFOOD 2017-07-31 2017-07-31
JUBLFOOD 2017-08-01 2017-08-30
JUBLFOOD 2017-08-31 2017-08-31
JUBLFOOD 2017-09-01 2017-09-30
JUBLFOOD 2017-10-01 2017-10-30
JUBLFOOD 2017-10-31 2017-10-31
JUBLFOOD 2017-11-01 2017-11-30
JUBLFOOD 2017-12-01 2017-12-30
JUBLFOOD 2017-12-31 2017-12-31
JUSTDIAL 2017-07-01 2017-07-30
JUSTDIAL 2017-07-31 2017-07-31
JUSTDIAL 2017-08-01 2017-08-30
JUSTDIAL 2017-08-31 2017-08-31
JUSTDIAL 2017-09-01 2017-09-30
JUSTDIAL 2017-10-01 2017-10-30
JUSTDIAL 2017-10-31 2017-10-31
JUSTDIAL 2017-11-01 2017-11-30
JUSTDIAL 2017-12-01 2017-12-30
JUSTDIAL 2017-12-31 2017-12-31
KAJARIACER 2017-07-01 2017-07-30
KAJARIACER 2017-07-31 2017-07-31
KAJARIACER 2017-08-01 2017-08-30
Commited candles: 5250000
KAJARIACER 2017-08-31 2017-08-31
KAJARIACER 2017-09-01 2017-09-30
KAJARIACER 2017-10-01 2017-10-30
KAJARIACER 2017-10-31 2017-10-31
KAJARIACER 2017-11-01 2017-11-30
KAJARIACER 2017-12-01 2017-12-30
KAJARIACER 2017-12-31 2017-12-31
KOTAKBANK 2017-07-01 2017-07-30
KOTAKBANK 2017-07-31 2017-07-31
KOTAKBANK 2017-08-01 2017-08-30
KOTAKBANK 2017-08-31 2017-08-31
KOTAKBANK 2017-09-01 2017-09-30
KOTAKBANK 2017-10-01 2017-10-30
KOTAKBANK 2017-10-31 2017-10-31
KOTAKBANK 2017-11-01 2017-11-30
KOTAKBANK 2017-12-01 2017-12-30
KOTAKBANK 2017-12-31 2017-12-31
KPIT 2017-07-01 2017-07-30
KPIT 2017-07-31 2017-07-31
KPIT 2017-08-01 2017-08-30
KPIT 2017-08-31 2017-08-31
KPIT 2017-09-01 2017-09-30
KPIT 2017-10-01 2017-10-30
KPIT 2017-10-31 2017-10-31
KPIT 2017-11-01 2017-11-30
KPIT 2017-12-01 2017-12-30
KPIT 2017-12-31 2017-12-31
KSCL 2017-07-01 2017-07-30
KSCL 2017-07-31 2017-07-31
KSCL 2017-08-01 2017-08-30
KSCL 2017-08-31 2017-08-31
KSCL 2017-09-01 2017-09-30
Commited candles: 5400000
KSCL 2017-10-01 2017-10-30
KSCL 2017-10-31 2017-10-31
KSCL 2017-11-01 2017-11-30
KSCL 2017-12-01 2017-12-30
KSCL 2017-12-31 2017-12-31
KTKBANK 2017-07-01 2017-07-30
KTKBANK 2017-07-31 2017-07-31
KTKBANK 2017-08-01 2017-08-30
KTKBANK 2017-08-31 2017-08-31
KTKBANK 2017-09-01 2017-09-30
KTKBANK 2017-10-01 2017-10-30
KTKBANK 2017-10-31 2017-10-31
KTKBANK 2017-11-01 2017-11-30
KTKBANK 2017-12-01 2017-12-30
KTKBANK 2017-12-31 2017-12-31
L&TFH 2017-07-01 2017-07-30
L&TFH 2017-07-31 2017-07-31
L&TFH 2017-08-01 2017-08-30
L&TFH 2017-08-31 2017-08-31
L&TFH 2017-09-01 2017-09-30
L&TFH 2017-10-01 2017-10-30
L&TFH 2017-10-31 2017-10-31
L&TFH 2017-11-01 2017-11-30
L&TFH 2017-12-01 2017-12-30
L&TFH 2017-12-31 2017-12-31
LICHSGFIN 2017-07-01 2017-07-30
LICHSGFIN 2017-07-31 2017-07-31
LICHSGFIN 2017-08-01 2017-08-30
LICHSGFIN 2017-08-31 2017-08-31
LICHSGFIN 2017-09-01 2017-09-30
LICHSGFIN 2017-10-01 2017-10-30
LICHSGFIN 2017-10-31 2017-10-31
LICHSGFIN 2017-11-01 2017-11-30
Commited candles: 5550000
LICHSGFIN 2017-12-01 2017-12-30
LICHSGFIN 2017-12-31 2017-12-31
LT 2017-07-01 2017-07-30
LT 2017-07-31 2017-07-31
LT 2017-08-01 2017-08-30
LT 2017-08-31 2017-08-31
LT 2017-09-01 2017-09-30
LT 2017-10-01 2017-10-30
LT 2017-10-31 2017-10-31
LT 2017-11-01 2017-11-30
LT 2017-12-01 2017-12-30
LT 2017-12-31 2017-12-31
LUPIN 2017-07-01 2017-07-30
LUPIN 2017-07-31 2017-07-31
LUPIN 2017-08-01 2017-08-30
LUPIN 2017-08-31 2017-08-31
LUPIN 2017-09-01 2017-09-30
LUPIN 2017-10-01 2017-10-30
LUPIN 2017-10-31 2017-10-31
LUPIN 2017-11-01 2017-11-30
LUPIN 2017-12-01 2017-12-30
LUPIN 2017-12-31 2017-12-31
M&M 2017-07-01 2017-07-30
M&M 2017-07-31 2017-07-31
M&M 2017-08-01 2017-08-30
M&M 2017-08-31 2017-08-31
M&M 2017-09-01 2017-09-30
M&M 2017-10-01 2017-10-30
M&M 2017-10-31 2017-10-31
M&M 2017-11-01 2017-11-30
M&M 2017-12-01 2017-12-30
Commited candles: 5700000
M&M 2017-12-31 2017-12-31
M&MFIN 2017-07-01 2017-07-30
M&MFIN 2017-07-31 2017-07-31
M&MFIN 2017-08-01 2017-08-30
M&MFIN 2017-08-31 2017-08-31
M&MFIN 2017-09-01 2017-09-30
M&MFIN 2017-10-01 2017-10-30
M&MFIN 2017-10-31 2017-10-31
M&MFIN 2017-11-01 2017-11-30
M&MFIN 2017-12-01 2017-12-30
M&MFIN 2017-12-31 2017-12-31
MANAPPURAM 2017-07-01 2017-07-30
MANAPPURAM 2017-07-31 2017-07-31
MANAPPURAM 2017-08-01 2017-08-30
MANAPPURAM 2017-08-31 2017-08-31
MANAPPURAM 2017-09-01 2017-09-30
MANAPPURAM 2017-10-01 2017-10-30
MANAPPURAM 2017-10-31 2017-10-31
MANAPPURAM 2017-11-01 2017-11-30
MANAPPURAM 2017-12-01 2017-12-30
MANAPPURAM 2017-12-31 2017-12-31
MARICO 2017-07-01 2017-07-30
MARICO 2017-07-31 2017-07-31
MARICO 2017-08-01 2017-08-30
MARICO 2017-08-31 2017-08-31
MARICO 2017-09-01 2017-09-30
MARICO 2017-10-01 2017-10-30
MARICO 2017-10-31 2017-10-31
MARICO 2017-11-01 2017-11-30
MARICO 2017-12-01 2017-12-30
MARICO 2017-12-31 2017-12-31
MARUTI 2017-07-01 2017-07-30
MARUTI 2017-07-31 2017-07-31
MARUTI 2017-08-01 2017-08-30
Commited candles: 5850000
MARUTI 2017-08-31 2017-08-31
MARUTI 2017-09-01 2017-09-30
MARUTI 2017-10-01 2017-10-30
MARUTI 2017-10-31 2017-10-31
MARUTI 2017-11-01 2017-11-30
MARUTI 2017-12-01 2017-12-30
MARUTI 2017-12-31 2017-12-31
MCDOWELL-N 2017-07-01 2017-07-30
MCDOWELL-N 2017-07-31 2017-07-31
MCDOWELL-N 2017-08-01 2017-08-30
MCDOWELL-N 2017-08-31 2017-08-31
MCDOWELL-N 2017-09-01 2017-09-30
MCDOWELL-N 2017-10-01 2017-10-30
MCDOWELL-N 2017-10-31 2017-10-31
MCDOWELL-N 2017-11-01 2017-11-30
MCDOWELL-N 2017-12-01 2017-12-30
MCDOWELL-N 2017-12-31 2017-12-31
MCX 2017-07-01 2017-07-30
MCX 2017-07-31 2017-07-31
MCX 2017-08-01 2017-08-30
MCX 2017-08-31 2017-08-31
MCX 2017-09-01 2017-09-30
MCX 2017-10-01 2017-10-30
MCX 2017-10-31 2017-10-31
MCX 2017-11-01 2017-11-30
MCX 2017-12-01 2017-12-30
MCX 2017-12-31 2017-12-31
MFSL 2017-07-01 2017-07-30
MFSL 2017-07-31 2017-07-31
MFSL 2017-08-01 2017-08-30
MFSL 2017-08-31 2017-08-31
MFSL 2017-09-01 2017-09-30
Commited candles: 6000000
MFSL 2017-10-01 2017-10-30
MFSL 2017-10-31 2017-10-31
